,fips,NAME,unemployment,estimate,percent
316,25001,"Barnstable County, Massachusetts",3.5,15972,7.6
317,25003,"Berkshire County, Massachusetts",4.1,13182,10.9
318,25005,"Bristol County, Massachusetts",4.7,58070,10.7
319,25009,"Essex County, Massachusetts",4.0,81646,10.7
320,25011,"Franklin County, Massachusetts",4.9,6926,10
321,25013,"Hampden County, Massachusetts",6.5,74898,16.5
322,25015,"Hampshire County, Massachusetts",4.4,16535,11.9
323,25017,"Middlesex County, Massachusetts",3.9,117964,7.7
324,25021,"Norfolk County, Massachusetts",4.2,41497,6.1
325,25023,"Plymouth County, Massachusetts",4.4,39977,8
326,25025,"Suffolk County, Massachusetts",6.3,143799,19.5
327,25027,"Worcester County, Massachusetts",4.5,75902,9.6
328,26005,"Allegan County, Michigan",2.9,10303,9
329,26017,"Bay County, Michigan",8.0,15716,15.2
330,26021,"Berrien County, Michigan",5.8,25215,16.7
331,26025,"Calhoun County, Michigan",8.0,21973,16.8
332,26037,"Clinton County, Michigan",2.5,6509,8.4
333,26045,"Eaton County, Michigan",5.7,12005,11.2
334,26049,"Genesee County, Michigan",10.3,81761,20.3
335,26055,"Grand Traverse County, Michigan",6.6,8985,10
336,26065,"Ingham County, Michigan",6.6,54343,20.1
337,26073,"Isabella County, Michigan",7.8,15118,23.4
338,26075,"Jackson County, Michigan",4.5,20352,13.6
339,26077,"Kalamazoo County, Michigan",4.8,42141,16.6
340,26081,"Kent County, Michigan",4.0,76343,12.1
341,26087,"Lapeer County, Michigan",4.4,9324,10.8
342,26091,"Lenawee County, Michigan",4.5,11641,12.5
343,26093,"Livingston County, Michigan",3.0,10912,5.8
344,26099,"Macomb County, Michigan",5.5,94224,11
345,26103,"Marquette County, Michigan",4.6,9419,15.1
346,26111,"Midland County, Michigan",5.6,7771,9.5
347,26115,"Monroe County, Michigan",4.7,14819,10
348,26121,"Muskegon County, Michigan",6.9,31393,18.8
349,26125,"Oakland County, Michigan",4.1,106650,8.7
350,26139,"Ottawa County, Michigan",3.3,24520,9
351,26145,"Saginaw County, Michigan",7.3,33068,17.8
352,26147,"St. Clair County, Michigan",5.6,21781,13.8
353,26155,"Shiawassee County, Michigan",3.6,8106,12
354,26159,"Van Buren County, Michigan",5.0,12282,16.5
355,26161,"Washtenaw County, Michigan",3.6,49933,14.6
356,26163,"Wayne County, Michigan",9.3,395250,22.9
357,27003,"Anoka County, Minnesota",3.0,23240,6.8
358,27013,"Blue Earth County, Minnesota",3.9,9397,15
359,27019,"Carver County, Minnesota",1.9,4225,4.3
360,27037,"Dakota County, Minnesota",4.0,23278,5.6
361,27053,"Hennepin County, Minnesota",3.7,132137,10.9
362,27109,"Olmsted County, Minnesota",2.8,13027,8.6
363,27123,"Ramsey County, Minnesota",4.4,73203,13.9
364,27131,"Rice County, Minnesota",3.1,5673,9.7
365,27137,"St. Louis County, Minnesota",5.2,28177,14.7
366,27139,"Scott County, Minnesota",2.8,7784,5.5
367,27141,"Sherburne County, Minnesota",2.1,5703,6.3
368,27145,"Stearns County, Minnesota",4.6,17429,11.7
369,27163,"Washington County, Minnesota",2.6,11304,4.5
370,27171,"Wright County, Minnesota",3.9,6912,5.3
371,28033,"DeSoto County, Mississippi",3.6,17819,10.2
372,28035,"Forrest County, Mississippi",8.1,18514,25.4
373,28047,"Harrison County, Mississippi",11.1,40472,20.5
374,28049,"Hinds County, Mississippi",9.5,48244,20.8
375,28059,"Jackson County, Mississippi",7.3,24525,17.6
376,28067,"Jones County, Mississippi",4.6,13630,20.5
377,28075,"Lauderdale County, Mississippi",3.2,17531,23.7
378,28081,"Lee County, Mississippi",3.8,14332,17
379,28089,"Madison County, Mississippi",3.9,12426,12
380,28121,"Rankin County, Mississippi",3.7,13745,9.5
381,29019,"Boone County, Missouri",4.8,27774,16.6
382,29021,"Buchanan County, Missouri",5.4,14999,17.8
383,29031,"Cape Girardeau County, Missouri",4.9,11371,15.2
384,29037,"Cass County, Missouri",4.2,8792,8.7
385,29043,"Christian County, Missouri",2.1,8921,10.7
386,29047,"Clay County, Missouri",4.4,19868,8.4
387,29051,"Cole County, Missouri",3.1,7821,10.9
388,29071,"Franklin County, Missouri",5.0,10901,10.7
389,29077,"Greene County, Missouri",3.7,45710,16.5
390,29095,"Jackson County, Missouri",4.5,105697,15.5
391,29097,"Jasper County, Missouri",5.6,20301,17.5
392,29099,"Jefferson County, Missouri",5.0,22484,10.1
393,29165,"Platte County, Missouri",2.5,5915,6.1
394,29183,"St. Charles County, Missouri",2.6,20198,5.2
395,29187,"St. Francois County, Missouri",5.4,9726,16.3
396,29189,"St. Louis County, Missouri",5.0,90126,9.2
397,29510,"St. Louis city, Missouri",7.0,73250,24.3
398,30013,"Cascade County, Montana",4.0,11333,14.2
399,30029,"Flathead County, Montana",2.5,11897,12.3
400,30031,"Gallatin County, Montana",2.2,11526,11.4
401,30049,"Lewis and Clark County, Montana",1.9,6858,10.4
402,30063,"Missoula County, Montana",3.5,17206,15.2
403,30111,"Yellowstone County, Montana",3.5,13581,8.8
404,31055,"Douglas County, Nebraska",3.9,67359,12.4
405,31109,"Lancaster County, Nebraska",3.8,35993,12.2
406,31153,"Sarpy County, Nebraska",2.9,10294,5.8
407,32003,"Clark County, Nevada",6.1,311352,14.6
408,32031,"Washoe County, Nevada",4.8,56064,12.5
409,33005,"Cheshire County, New Hampshire",3.1,6078,8.6
410,33009,"Grafton County, New Hampshire",4.8,8463,10.3
411,33011,"Hillsborough County, New Hampshire",4.0,31972,8
412,33013,"Merrimack County, New Hampshire",3.3,10532,7.4
413,33015,"Rockingham County, New Hampshire",3.6,12681,4.2
414,33017,"Strafford County, New Hampshire",4.0,9094,7.7
415,34001,"Atlantic County, New Jersey",8.5,37734,14.2
416,34003,"Bergen County, New Jersey",3.9,63789,6.9
417,34005,"Burlington County, New Jersey",5.1,27083,6.2
418,34007,"Camden County, New Jersey",6.4,60385,12
419,34009,"Cape May County, New Jersey",7.1,10964,11.9
420,34011,"Cumberland County, New Jersey",10.1,26321,18.4
421,34013,"Essex County, New Jersey",7.7,126492,16.3
422,34015,"Gloucester County, New Jersey",5.9,22402,7.8
423,34017,"Hudson County, New Jersey",4.5,104660,15.6
424,34019,"Hunterdon County, New Jersey",3.7,5431,4.5
425,34021,"Mercer County, New Jersey",5.6,39066,11.1
426,34023,"Middlesex County, New Jersey",4.8,69642,8.6
427,34025,"Monmouth County, New Jersey",5.0,43866,7.1
428,34027,"Morris County, New Jersey",3.7,26615,5.4
429,34029,"Ocean County, New Jersey",5.2,64493,11
430,34031,"Passaic County, New Jersey",4.8,85671,17.2
431,34033,"Salem County, New Jersey",5.9,7868,12.6
432,34035,"Somerset County, New Jersey",3.9,17318,5.2
433,34037,"Sussex County, New Jersey",5.3,8460,6
434,34039,"Union County, New Jersey",5.8,58425,10.6
435,34041,"Warren County, New Jersey",5.1,8708,8.3
436,35001,"Bernalillo County, New Mexico",5.0,107909,16.2
437,35005,"Chaves County, New Mexico",5.6,13974,22
438,35013,"Do?a Ana County, New Mexico",8.2,53719,25.6
439,35025,"Lea County, New Mexico",6.8,12179,18
440,35031,"McKinley County, New Mexico",14.6,25540,34.4
441,35035,"Otero County, New Mexico",9.2,12945,20.5
442,35043,"Sandoval County, New Mexico",6.1,20441,14.5
443,35045,"San Juan County, New Mexico",8.8,19749,17.4
444,35049,"Santa Fe County, New Mexico",4.3,20463,14
445,35061,"Valencia County, New Mexico",6.7,13746,18.6
446,36001,"Albany County, New York",4.7,35585,12.1
447,36005,"Bronx County, New York",10.9,405516,28.6
448,36007,"Broome County, New York",7.1,30417,16.5
449,36009,"Cattaraugus County, New York",5.5,11014,14.6
450,36011,"Cayuga County, New York",4.2,9236,12.5
451,36013,"Chautauqua County, New York",5.9,23921,19.2
452,36015,"Chemung County, New York",6.0,12390,15.2
453,36019,"Clinton County, New York",3.8,10701,14.4
454,36027,"Dutchess County, New York",4.2,25588,9.2
455,36029,"Erie County, New York",4.6,126912,14.2
456,36045,"Jefferson County, New York",5.4,16468,15.3
457,36047,"Kings County, New York",6.4,535092,20.6
458,36051,"Livingston County, New York",4.6,8072,13.9
459,36053,"Madison County, New York",3.3,7421,11.1
460,36055,"Monroe County, New York",5.5,106742,14.7
461,36059,"Nassau County, New York",3.4,82192,6.1
462,36061,"New York County, New York",5.4,274651,17.2
463,36063,"Niagara County, New York",4.9,26152,12.6
464,36065,"Oneida County, New York",4.5,35553,16.3
465,36067,"Onondaga County, New York",6.0,65822,14.6
466,36069,"Ontario County, New York",3.3,10240,9.6
467,36071,"Orange County, New York",4.5,46624,12.6
468,36075,"Oswego County, New York",7.3,19549,17.2
469,36079,"Putnam County, New York",5.1,5844,6
470,36081,"Queens County, New York",5.2,307866,13.3
471,36083,"Rensselaer County, New York",5.0,17978,11.6
472,36085,"Richmond County, New York",4.3,62030,13.2
473,36087,"Rockland County, New York",4.6,46260,14.4
474,36089,"St. Lawrence County, New York",6.6,17225,17.5
475,36091,"Saratoga County, New York",3.0,14094,6.3
476,36093,"Schenectady County, New York",10.3,17158,11.4
477,36101,"Steuben County, New York",5.7,12546,13.2
478,36103,"Suffolk County, New York",4.0,111341,7.6
479,36105,"Sullivan County, New York",10.4,12240,16.9
480,36109,"Tompkins County, New York",3.3,17022,18.5
481,36111,"Ulster County, New York",5.3,23815,13.9
482,36113,"Warren County, New York",4.4,7479,11.7
483,36117,"Wayne County, New York",4.6,9296,10.4
484,36119,"Westchester County, New York",5.1,95327,10
485,37001,"Alamance County, North Carolina",4.9,25014,16.1
486,37019,"Brunswick County, North Carolina",5.8,17406,13.8
487,37021,"Buncombe County, North Carolina",2.9,33631,13.5
488,37023,"Burke County, North Carolina",5.6,15310,17.7
489,37025,"Cabarrus County, North Carolina",5.0,21980,11
490,37027,"Caldwell County, North Carolina",4.3,13697,17.1
491,37031,"Carteret County, North Carolina",4.1,8321,12.3
492,37035,"Catawba County, North Carolina",6.5,19537,12.7
493,37037,"Chatham County, North Carolina",-999999999.0,8384,11.7
494,37045,"Cleveland County, North Carolina",5.6,19594,20.6
